,category,location_type,context,persistent_id,id,location_subtype,month,location.latitude,location.street.id,location.street.name,location.longitude,outcome_status.category,outcome_status.date,pretty name,constituincy,Type
0,violent-crime,Force,,896ec8a4d48e606f46077ee9eee58f2b107395620e37d439aa6cc9c601aba3b0,63674282,,2018-03,53.903168,1308010,On or near Shirley Close,-1.686936,Offender given community sentence,2018-04,On or near Shirley Close - Leeds North West,Leeds North West,Street
1,violent-crime,Force,,9cd10916eb4755c7f0078229966d1c014bb4acae778cb4c44109817947111ab8,63675572,,2018-03,53.814828,1299444,On or near Stott Road,-1.573775,Defendant found not guilty,2018-05,On or near Stott Road - Leeds North West,Leeds North West,Street
2,violent-crime,Force,,353ebab7e4ae2dfae367cd2ff797e9cc8f54235a59c51caa2106cd1e74086113,63673903,,2018-03,53.903615,1308051,On or near Cambridge Drive,-1.682519,Court case unable to proceed,2018-08,On or near Cambridge Drive - Leeds North West,Leeds North West,Street
3,violent-crime,Force,,c80de79d21bde98846f7ffb00a6b26d81f7c7da09b85ce0c1f4ddf69dd9e3377,63679985,,2018-03,53.904487,1308017,On or near Mercury Row,-1.693197,Offender given suspended prison sentence,2018-04,On or near Mercury Row - Leeds North West,Leeds North West,Street
4,violent-crime,Force,,3ad963f9f00e138162e64e33bbbd19d3120ba6770a37c177b37a4bcbb46484e7,63696334,,2018-03,53.865583,1306675,On or near Town Hall Square,-1.684464,Unable to prosecute suspect,2018-04,On or near Town Hall Square - Leeds North West,Leeds North West,On or near Theatre/concert Hall
5,violent-crime,Force,,99f52768679ff34e6702f6e1026759fb5e11d79d81aacef34938642da58ffc65,63694220,,2018-03,53.87179,1306942,On or near Leeds Road,-1.596238,Investigation complete; no suspect identified,2018-05,On or near Leeds Road - Leeds North West,Leeds North West,Street
6,violent-crime,Force,,d2a8dfe76b4524165265ca21a2f08ca89e1ebaa8b42c06f35f42ee73dd5398c5,63685994,,2018-03,53.864402,1306650,On or near King Street,-1.679546,Unable to prosecute suspect,2019-08,On or near King Street - Leeds North West,Leeds North West,Street
7,violent-crime,Force,,2b2d972c1e60f69a7ca5447895af16ab6bc5525680298b60e530da92e0631a6e,63675484,,2018-03,53.820676,1301695,On or near North Grange Mount,-1.567883,Unable to prosecute suspect,2018-03,On or near North Grange Mount - Leeds North West,Leeds North West,Street
8,violent-crime,Force,,29deb69f380a5617d2136815fd13a5630ebafa511afa6652f0fbcd174a91e4fa,63674932,,2018-03,53.819397,1301599,On or near Headingley Avenue,-1.584954,Status update unavailable,2018-07,On or near Headingley Avenue - Leeds North West,Leeds North West,Street
9,violent-crime,Force,,6cda3093c324f62279dc711a0514d56d99da4c37df0e2dfcad724a2b5bad0b88,63677895,,2018-03,53.855835,1304981,On or near Holtdale Road,-1.609481,Unable to prosecute suspect,2018-05,On or near Holtdale Road - Leeds North West,Leeds North West,Street
10,violent-crime,Force,,7aaaf342cd65accf66a15d0a8ca5b6869430b5d59b7c7cc73b069498ef9dc73a,63682199,,2018-03,53.845152,1303854,On or near Luttrell Gardens,-1.6023,Unable to prosecute suspect,2018-03,On or near Luttrell Gardens - Leeds North West,Leeds North West,Street
11,violent-crime,Force,,18ddb49f86cdc10abf0977572b7240dadaa6141ec69807bc15778b970db4c03a,63683952,,2018-03,53.838959,1303920,On or near Clayton Wood Bank,-1.607602,Unable to prosecute suspect,2018-03,On or near Clayton Wood Bank - Leeds North West,Leeds North West,Street
12,violent-crime,Force,,e99aa49321231258e12b8cefd5e8636a7e2b8cd5cdab3090f65428303d3c73ee,63685554,,2018-03,53.821345,1301578,On or near Trelawn Avenue,-1.581699,Status update unavailable,2018-07,On or near Trelawn Avenue - Leeds North West,Leeds North West,Street
13,violent-crime,Force,,361811ad6020bb949beab7ca177f0a4b5234deb848591c3b6dba379364360b4e,63687022,,2018-03,53.821265,1301623,On or near Chapel Place,-1.579467,Investigation complete; no suspect identified,2018-03,On or near Chapel Place - Leeds North West,Leeds North West,Street
14,violent-crime,Force,,3b84d74068541364ae54f1d6f6f654df35f9c31f07ac9007c3dfa81e688bebcb,63687052,,2018-03,53.899524,1308063,On or near Prestwick Close,-1.718222,Unable to prosecute suspect,2018-03,On or near Prestwick Close - Leeds North West,Leeds North West,Street
15,violent-crime,Force,,9e1daaca7e28804b3772a02f3bc458bbae040375bb5d38d2321c8147a42f4b76,63686907,,2018-03,53.855835,1304981,On or near Holtdale Road,-1.609481,Unable to prosecute suspect,2018-04,On or near Holtdale Road - Leeds North West,Leeds North West,Street
16,violent-crime,Force,,45f895f60038e9e023d063efebb10da74fcc05b441f999772843477684fa0636,63688195,,2018-03,53.821265,1301623,On or near Chapel Place,-1.579467,Unable to prosecute suspect,2018-03,On or near Chapel Place - Leeds North West,Leeds North West,Street
17,violent-crime,Force,,684520da6fff7c889456ffe0800def4c8a826c3c5d5e8c1cbbcc016e9e5a5f1b,63690094,,2018-03,53.814627,1299416,On or near Broomfield Street,-1.57806,Status update unavailable,2018-07,On or near Broomfield Street - Leeds North West,Leeds North West,Street
18,violent-crime,Force,,e1d92d61b43f8f064401ba6ab3fbab34ba008c0066e19113f9e8836582946e50,63693175,,2018-03,53.859192,1306757,On or near Holtdale Croft,-1.613448,Unable to prosecute suspect,2018-05,On or near Holtdale Croft - Leeds North West,Leeds North West,Street
19,violent-crime,Force,,bfc9a626214d59b655a89131275d1383905008e61119a2f15cc0a9226123412a,63693691,,2018-03,53.833487,1303983,On or near Beckside Gardens,-1.578859,Unable to prosecute suspect,2018-04,On or near Beckside Gardens - Leeds North West,Leeds North West,On or near Sports/recreation Area
20,violent-crime,Force,,ac01675032491bc9bbc9962d9769b496245f3184e96d012077862a29db4174a1,63680694,,2018-03,53.820994,1301653,On or near Shire Oak Street,-1.576386,Investigation complete; no suspect identified,2018-03,On or near Shire Oak Street - Leeds North West,Leeds North West,Street
21,violent-crime,Force,,9bf64c6f8405f961cdabfe6c383895b9b250dfd614adb9d120e96191c42a7af5,63675399,,2018-03,53.817989,1299430,On or near St Michael's Crescent,-1.578118,Investigation complete; no suspect identified,2018-03,On or near St Michael's Crescent - Leeds North West,Leeds North West,Street
22,violent-crime,Force,,bb2576d2ee9634a1d7b11be54cdcedb9c0abe7dee61501c1eff67c1018888c64,63683965,,2018-03,53.857898,1304985,On or near Holtdale Fold,-1.610754,Investigation complete; no suspect identified,2018-03,On or near Holtdale Fold - Leeds North West,Leeds North West,Street
23,violent-crime,Force,,6e060c188996d88623e755c21b8c1668d15ab2eab7e20a441425a485f31aa8dd,63684153,,2018-03,53.821265,1301623,On or near Chapel Place,-1.579467,Investigation complete; no suspect identified,2018-03,On or near Chapel Place - Leeds North West,Leeds North West,Street
24,violent-crime,Force,,40ce880e6a19e1e026ef5bf54a74fd014acee6b7886efa1230846bd0f655c716,63686431,,2018-03,53.810428,1299519,On or near Thornville Grove,-1.57262,Unable to prosecute suspect,2018-03,On or near Thornville Grove - Leeds North West,Leeds North West,Street
25,violent-crime,Force,,ba3d7568c905220e80b150315c17c356b350805d0b9e5e3aff13eb8b4032052a,63696113,,2018-03,53.838959,1303920,On or near Clayton Wood Bank,-1.607602,Investigation complete; no suspect identified,2018-08,On or near Clayton Wood Bank - Leeds North West,Leeds North West,Street
26,violent-crime,Force,,87fac9e51e8fdfca18ac713f92fc7cf6064caef459fac0fb6f84a1b9f928214a,63694652,,2018-03,53.818126,1299488,On or near Bainbrigge Road,-1.576248,Unable to prosecute suspect,2018-09,On or near Bainbrigge Road - Leeds North West,Leeds North West,Street
27,violent-crime,Force,,47a89e8ea9fae1b998f2ac2e50db99b152af4984bbce68a7406a4105870802e6,63695677,,2018-03,53.847746,1304940,On or near Laith Green,-1.609389,Unable to prosecute suspect,2018-04,On or near Laith Green - Leeds North West,Leeds North West,Street
28,violent-crime,Force,,815a613499b1435ae80d066ea4aa27dfa3f363a2b958814ae5b302af8651f537,63695345,,2018-03,53.850889,1304963,On or near Raynel Approach,-1.605742,Status update unavailable,2018-07,On or near Raynel Approach - Leeds North West,Leeds North West,Street
29,violent-crime,Force,,d46aa10e4773273a38aa47b6789cd50b9d37728b3c350b84906102a6efbbfab2,63695204,,2018-03,53.844621,1303786,On or near Silk Mill Mews,-1.612959,Unable to prosecute suspect,2018-05,On or near Silk Mill Mews - Leeds North West,Leeds North West,Street
30,violent-crime,Force,,0eedec8dc38524186181588ee39445c7a992e131decff8777f0c20e73d6c89ed,63694668,,2018-03,53.857556,1304987,On or near Holtdale Close,-1.613448,Unable to prosecute suspect,2018-05,On or near Holtdale Close - Leeds North West,Leeds North West,Street
31,violent-crime,Force,,c8b65650f4cdff1ff8b8438a5919f458ddfd8f10255f4c60a18b90dbe905c313,63697168,,2018-03,53.822301,1301660,On or near Linfield Court,-1.572332,Unable to prosecute suspect,2018-05,On or near Linfield Court - Leeds North West,Leeds North West,Street
32,violent-crime,Force,,51fe8e5c0ea03fb8b42c5eab00b06b4fc769eee468bc4df4338ee041fc1e3dcf,63696883,,2018-03,53.812108,1299596,On or near Brudenell Road,-1.569809,Unable to prosecute suspect,2018-04,On or near Brudenell Road - Leeds North West,Leeds North West,Street
33,violent-crime,Force,,317526abd9880772f7aad75b5e2662368b73d9dd3769a582be4af3af40790ddf,63696853,,2018-03,53.810428,1299519,On or near Thornville Grove,-1.57262,Unable to prosecute suspect,2018-04,On or near Thornville Grove - Leeds North West,Leeds North West,Street
34,violent-crime,Force,,54d7b5e902b14bb6ac06ff6ffae7ce872942a0810e3fa589ba915fcc9249e0c0,63696969,,2018-03,53.850603,1304959,On or near Raynel Green,-1.603556,Unable to prosecute suspect,2018-05,On or near Raynel Green - Leeds North West,Leeds North West,Street
35,violent-crime,Force,,ce14732be37c7ad91ebda1cfaafd01e78954c99b96c704f7321c8bc249113fb2,63696444,,2018-03,53.866067,1306579,On or near Old Haworth Lane,-1.687319,Unable to prosecute suspect,2018-05,On or near Old Haworth Lane - Leeds North West,Leeds North West,Street
36,violent-crime,Force,,a4f87d7200bfc6a0b73d70bb81ad5c139e63d17388184401fc54d991d112bd83,63696193,,2018-03,53.809329,1299514,On or near Thornville Street,-1.571918,Investigation complete; no suspect identified,2018-04,On or near Thornville Street - Leeds North West,Leeds North West,Street
37,violent-crime,Force,,c99172d8f27bb3a340512290f2bf6601c92a7211fa01ab6478727127221526dd,63695808,,2018-03,53.857282,1304914,On or near Holtdale Lawn,-1.609407,Investigation complete; no suspect identified,2018-05,On or near Holtdale Lawn - Leeds North West,Leeds North West,Street
38,violent-crime,Force,,5121da9ba64446a4dbf2a0eed78f9c561042c825f3e001154223ec5c4cae8540,63694266,,2018-03,53.916621,1308539,On or near The Whartons,-1.693397,Status update unavailable,2018-07,On or near The Whartons - Leeds North West,Leeds North West,Street
39,violent-crime,Force,,d6c79da694fadd08ffbbd1af74d629534e3708b8c2c48e9b45c5c88c48b2a26d,63693388,,2018-03,53.814627,1299416,On or near Broomfield Street,-1.57806,Status update unavailable,2018-07,On or near Broomfield Street - Leeds North West,Leeds North West,Street
40,violent-crime,Force,,8ba384ed912e6d4d985cf8b963166bd0ae4b2ef9e4ba1a89b4369b89f9928a89,63693736,,2018-03,53.817564,1299799,On or near Back Ridge Mount Terrace,-1.559926,Unable to prosecute suspect,2018-05,On or near Back Ridge Mount Terrace - Leeds North West,Leeds North West,Street
41,violent-crime,Force,,9bae321813c1afc3b0ffb433fc85cdf40725ccc44bae465ea2e2ad5fe49ba553,63693363,,2018-03,53.853737,1304832,On or near East Moor Lane,-1.576284,Unable to prosecute suspect,2019-03,On or near East Moor Lane - Leeds North West,Leeds North West,Street
42,violent-crime,Force,,67a2cc7ba9d671bf38203d1ee7535b174b0da53f06b87e2e9bb50b67bd3f0b58,63693185,,2018-03,53.850243,1305073,On or near Haven Croft,-1.6116,Unable to prosecute suspect,2019-05,On or near Haven Croft - Leeds North West,Leeds North West,Street
43,violent-crime,Force,,6f97d896ab92aed4a155a3bb05e75a6ebe18a38761968727a18704f1793141a3,63692711,,2018-03,53.857898,1304985,On or near Holtdale Fold,-1.610754,Status update unavailable,2018-07,On or near Holtdale Fold - Leeds North West,Leeds North West,Street
44,violent-crime,Force,,a9182fa9384b8a817e726ffd210d7165e025db2c6a9225068f0546c1b6ae285b,63692660,,2018-03,53.914029,1308533,On or near Bickerton Way,-1.710208,Unable to prosecute suspect,2018-04,On or near Bickerton Way - Leeds North West,Leeds North West,Street
45,violent-crime,Force,,24c8721f99fc70961ea2b5040dd3a8525c8bfaf4836ed091f77dbd78b4987e26,63681344,,2018-03,53.822301,1301660,On or near Linfield Court,-1.572332,Unable to prosecute suspect,2018-08,On or near Linfield Court - Leeds North West,Leeds North West,Street
46,violent-crime,Force,,cd66b9d24d6476ba0d5b41cdf1f88fc478a50cef94f1aded035b88b3050c229a,63676901,,2018-03,53.812834,1299585,On or near Chestnut Road,-1.569148,Status update unavailable,2018-07,On or near Chestnut Road - Leeds North West,Leeds North West,Street
47,violent-crime,Force,,85124215d9263ab483165718ba90d7c72e7ea875adf729748c445669d6843148,63683741,,2018-03,53.881538,1306952,On or near Tredgold Close,-1.614125,Status update unavailable,2018-07,On or near Tredgold Close - Leeds North West,Leeds North West,Street
48,violent-crime,Force,,7e5804b7e59124fb7a816a2835ff24246a965e2d515b0b483f11f86da7f1d2b2,63684762,,2018-03,53.844511,1303852,On or near Luttrell Road,-1.601425,Status update unavailable,2018-07,On or near Luttrell Road - Leeds North West,Leeds North West,Street
49,violent-crime,Force,,a7fa27ee205bcbf2e2a652ee7834488f4684309e2a59dc52b2470a39dc95bc1a,63676328,,2018-03,53.819003,1301595,On or near King's Place,-1.577622,Status update unavailable,2018-07,On or near King's Place - Leeds North West,Leeds North West,Street
50,violent-crime,Force,,d5e9730f7b368e31acf67babcf011a315ec838f7213e1b1cefed50db0b968030,63676449,,2018-03,53.86163,1306768,On or near Crag Hill View,-1.619918,Action to be taken by another organisation,2018-03,On or near Crag Hill View - Leeds North West,Leeds North West,Street
51,violent-crime,Force,,659472508dfb4b1c6ea114d160c68613567411999c9601c26f9ea214c8a46c27,63675812,,2018-03,53.820994,1301653,On or near Shire Oak Street,-1.576386,Status update unavailable,2018-07,On or near Shire Oak Street - Leeds North West,Leeds North West,Street
52,violent-crime,Force,,f05a71f7382afce3a140123038b86f9d5eadafc8ab0adfcb24c3d772d8b9ad37,63675085,,2018-03,53.837344,1303914,On or near Latchmere Gardens,-1.603119,Unable to prosecute suspect,2018-03,On or near Latchmere Gardens - Leeds North West,Leeds North West,Street
53,violent-crime,Force,,4ea246670c29f47775ca3483ac4aa64dfce4f5fc1ea865bcde741e3592d8c761,63674673,,2018-03,53.819828,1301607,On or near Granby Street,-1.577097,Unable to prosecute suspect,2018-03,On or near Granby Street - Leeds North West,Leeds North West,Street
54,violent-crime,Force,,940a65a6de9046506062e54fbd1bb782436ffc47e5e70deeb4099cf6d4996a34,63674557,,2018-03,53.824679,1301647,On or near Back Woodbine Terrace,-1.573797,Unable to prosecute suspect,2018-03,On or near Back Woodbine Terrace - Leeds North West,Leeds North West,Street
55,violent-crime,Force,,94b1501a7a1549d3a26eafee13f96e80f4eca74164979feb8242bc838e13ffd0,63674382,,2018-03,53.845698,1305063,On or near Iveson Close,-1.609818,Investigation complete; no suspect identified,2018-03,On or near Iveson Close - Leeds North West,Leeds North West,Street
56,violent-crime,Force,,0e955647babd61a61db233207672eff09cbe484097d5e2a865a6de38ee554fa0,63674162,,2018-03,53.849722,1305050,On or near Tinshill Lane,-1.62033,Unable to prosecute suspect,2018-03,On or near Tinshill Lane - Leeds North West,Leeds North West,Street
57,violent-crime,Force,,2ae02ddba6ae691d1ea6f8138f588364e4461dd3f4d20501fabcc6f781115481,63674340,,2018-03,53.903168,1308010,On or near Shirley Close,-1.686936,Offender given community sentence,2018-04,On or near Shirley Close - Leeds North West,Leeds North West,Street
58,violent-crime,Force,,283103ac5381e319b5c90c4f57281cb844292bfb716a44065c4a53125d4764ef,63674037,,2018-03,53.861858,1306652,On or near Henshaw Oval,-1.683017,Unable to prosecute suspect,2018-03,On or near Henshaw Oval - Leeds North West,Leeds North West,Street
59,violent-crime,Force,,65cadf110fdd8e0299d63b484705de6fdcc79c5866a36899d5fef7dc48393348,63674206,,2018-03,53.905991,1307977,On or near Kirkgate,-1.69451,Unable to prosecute suspect,2018-03,On or near Kirkgate - Leeds North West,Leeds North West,Street
60,violent-crime,Force,,00ddf81342d9315097d0e7eccdf884cf4176d6e2738d0fe8dafc5c9a8935e488,63674207,,2018-03,53.869082,1306725,On or near Airport/airfield,-1.659132,Offender given a caution,2018-03,On or near Airport/airfield - Leeds North West,Leeds North West,Street
61,violent-crime,Force,,490c0e7f6f513f3715459d4ac1cf244ce9a8875ccfb34a5cdc68d53dcff61b88,63673846,,2018-03,53.827434,1301718,On or near Harrowby Crescent,-1.593246,Unable to prosecute suspect,2018-12,On or near Harrowby Crescent - Leeds North West,Leeds North West,On or near Further/higher Educational Building
62,violent-crime,Force,,f5e9aaf90c9f33bf437b38c26403f2f375b75fdd83800162f52ada828542975f,63683143,,2018-03,53.810428,1299519,On or near Thornville Grove,-1.57262,Investigation complete; no suspect identified,2018-03,On or near Thornville Grove - Leeds North West,Leeds North West,Street
63,violent-crime,Force,,9dc74c7359fc9944b94b1d6f4b1092feb3c035c3225b02080cc32a47cb76a661,63682710,,2018-03,53.915075,1308541,On or near The Crossways,-1.693317,Action to be taken by another organisation,2018-03,On or near The Crossways - Leeds North West,Leeds North West,Street
64,violent-crime,Force,,7e6e6d82c50ef3d83e846afd27d8d0b8860b25a5ae979db00d073b0ddaf1390b,63682168,,2018-03,53.849053,1305056,On or near Bedford View,-1.619105,Unable to prosecute suspect,2018-05,On or near Bedford View - Leeds North West,Leeds North West,Street
65,violent-crime,Force,,511c91aedded85986d532a693501e7853d13078819813631642360d81f433327,63682027,,2018-03,53.845646,1304946,On or near Iveson Grove,-1.607509,Unable to prosecute suspect,2018-06,On or near Iveson Grove - Leeds North West,Leeds North West,Street
66,violent-crime,Force,,e3c03415624eeb21ffcf53bc7266fb09b5dc397ddf9b47451edb15235e4f32bf,63681972,,2018-03,53.889101,1307626,On or near Hall Drive,-1.618346,Status update unavailable,2018-07,On or near Hall Drive - Leeds North West,Leeds North West,Street
67,violent-crime,Force,,72a44146e6fbf3173779b23b56d0be872c88187a2fe47c94ace7097b2f09805a,63681887,,2018-03,53.810428,1299519,On or near Thornville Grove,-1.57262,Investigation complete; no suspect identified,2018-05,On or near Thornville Grove - Leeds North West,Leeds North West,Street
68,violent-crime,Force,,6159721c863af9fde3f13b9ac62ccd962fdded78feb3db317cdafc84720b6091,63681765,,2018-03,53.827963,1301562,On or near Castle Grove Avenue,-1.577471,Unable to prosecute suspect,2018-04,On or near Castle Grove Avenue - Leeds North West,Leeds North West,Street
69,violent-crime,Force,,3acb3668a9c8402697ed04cb2a13cf2974646b2e5d716af556787cc88aa6963b,63681934,,2018-03,53.845579,1304948,On or near Iveson Approach,-1.606217,Unable to prosecute suspect,2018-05,On or near Iveson Approach - Leeds North West,Leeds North West,Street
70,violent-crime,Force,,683eea5d9dde66bf29edbb63d38c942c221a19e7b21fd37a223d11fae6087c1c,63681732,,2018-03,53.812087,1299541,On or near Mayville Road,-1.574031,Unable to prosecute suspect,2018-08,On or near Mayville Road - Leeds North West,Leeds North West,Street
71,violent-crime,Force,,16d7f0b335454e98494fbb8cbe74574911ff80bcfddd23d8ca0a1b4c45731797,63681591,,2018-03,53.814207,1299758,On or near Hyde Park Terrace,-1.563743,Investigation complete; no suspect identified,2018-03,On or near Hyde Park Terrace - Leeds North West,Leeds North West,Street
72,violent-crime,Force,,dfc6fbb306d2d0432cc786efd9e6a27905e0d6eb910ec5ffd6feb1bb5cb50dbb,63681108,,2018-03,53.85987,1306779,On or near Kingsley Drive,-1.592916,Investigation complete; no suspect identified,2018-09,On or near Kingsley Drive - Leeds North West,Leeds North West,Street
73,violent-crime,Force,,b6f89529b81054e91cff27ee05ec9f118de9d8427312f8356d3cf3855331731a,63680762,,2018-03,53.820994,1301653,On or near Shire Oak Street,-1.576386,Investigation complete; no suspect identified,2018-03,On or near Shire Oak Street - Leeds North West,Leeds North West,Street
74,violent-crime,Force,,135c8fcde684331766116d14935dc916583ed49a39129bac3e33cebe82d5ea85,63680756,,2018-03,53.87179,1306942,On or near Leeds Road,-1.596238,Investigation complete; no suspect identified,2018-03,On or near Leeds Road - Leeds North West,Leeds North West,Street
75,violent-crime,Force,,ba836c4add9b7ae2171c4e73619833634dee788f0a6abfa36d6a2189ac1e901e,63680714,,2018-03,53.814769,1299759,On or near Hyde Park Place,-1.562324,Offender sent to prison,2019-03,On or near Hyde Park Place - Leeds North West,Leeds North West,Street
76,violent-crime,Force,,06b2e8b7bcc971dbe6cfd8f08e69b800e8e17a606e304f5f891d541bf30bbf7e,63680852,,2018-03,53.818126,1299488,On or near Bainbrigge Road,-1.576248,Investigation complete; no suspect identified,2018-03,On or near Bainbrigge Road - Leeds North West,Leeds North West,Street
77,violent-crime,Force,,271a5704b8ca3775cbb8c038c6115cac01e72b1c889995cedc01b06badfa845d,63680430,,2018-03,53.83333,1303885,On or near Edgerton Road,-1.596152,Investigation complete; no suspect identified,2018-03,On or near Edgerton Road - Leeds North West,Leeds North West,Street
78,violent-crime,Force,,f92936ac1166c7ad29104bfb6c6e142e41c15d5dd28cae93879b93f1121e920c,63680387,,2018-03,53.825193,1273047,On or near Shaw Lane,-1.576936,Unable to prosecute suspect,2018-03,On or near Shaw Lane - Leeds North West,Leeds North West,Street
79,violent-crime,Force,,087d6ac41bfb119c30b6e2a7d287780bd58fdb1b6745db771405034c75bdcb9b,63680052,,2018-03,53.856018,1304915,On or near Holt Way,-1.604797,Investigation complete; no suspect identified,2018-03,On or near Holt Way - Leeds North West,Leeds North West,Street
80,violent-crime,Force,,30cde0ff2135f3668492d3925f6abffadd5175075ed7f8f766a445cddfdbb9c8,63680368,,2018-03,53.820676,1301695,On or near North Grange Mount,-1.567883,Unable to prosecute suspect,2018-03,On or near North Grange Mount - Leeds North West,Leeds North West,Street
81,violent-crime,Force,,33091dd465d89bad97235cb5894ef2ce240ef564a6c0763f65705d89e8985665,63679699,,2018-03,53.817989,1299430,On or near St Michael's Crescent,-1.578118,Investigation complete; no suspect identified,2018-03,On or near St Michael's Crescent - Leeds North West,Leeds North West,Street
82,violent-crime,Force,,8aa0d9d1f40f0ae0ac6f29b1ae775e1ad70ac31111bbe120dfc252e824eb7102,63679593,,2018-03,53.912162,1308548,On or near Farnley Lane,-1.692927,Investigation complete; no suspect identified,2018-05,On or near Farnley Lane - Leeds North West,Leeds North West,Street
83,violent-crime,Force,,094c3aca94c64fe30c2fde4f0e29e379d5795302a541a93364ccf4e569a21314,63679594,,2018-03,53.905522,1307956,On or near Market Place,-1.693737,Unable to prosecute suspect,2018-05,On or near Market Place - Leeds North West,Leeds North West,On or near Shopping Area
84,violent-crime,Force,,ec11d598699f51597ac9a374caa3569e62ff9aab4893570a04581e6f1284b93c,63679288,,2018-03,53.862532,1306702,On or near Enfield,-1.686327,Unable to prosecute suspect,2018-03,On or near Enfield - Leeds North West,Leeds North West,Street
85,violent-crime,Force,,b213de19daa8324b1ffac1d7771d2ffdc39b7bfc63c67d1221d63a11f9f775aa,63679227,,2018-03,53.82136,1301604,On or near Grimthorpe Place,-1.583477,Local resolution,2018-09,On or near Grimthorpe Place - Leeds North West,Leeds North West,Street
86,violent-crime,Force,,45bd1d93a28b812b89724626261c50cba165e3c70f80533586c557b07217769c,63679221,,2018-03,53.82136,1301604,On or near Grimthorpe Place,-1.583477,Local resolution,2018-09,On or near Grimthorpe Place - Leeds North West,Leeds North West,Street
87,violent-crime,Force,,07306e5b3f6b284390c9187cd05974b4e6255569f2d43501a9a7d37f7de86072,63679073,,2018-03,53.826768,1301501,On or near Monk Bridge Road,-1.570023,Unable to prosecute suspect,2018-03,On or near Monk Bridge Road - Leeds North West,Leeds North West,Street
88,violent-crime,Force,,00a933349d6c6a1dca2fb6a366d6e3da0c4ce61fb980a62ff8174dd61bc40e0b,63679293,,2018-03,53.864466,1306726,On or near Plane Tree Grove,-1.669996,Unable to prosecute suspect,2018-03,On or near Plane Tree Grove - Leeds North West,Leeds North West,Street
89,violent-crime,Force,,2afe625bedba66fc5c843081a52cc1e1fd24c4eb9bf95af762b7cccc2a721138,63678711,,2018-03,53.815938,1299792,On or near Regent Park Terrace,-1.562616,Unable to prosecute suspect,2018-03,On or near Regent Park Terrace - Leeds North West,Leeds North West,Street
90,violent-crime,Force,,ea67b260b6df15c84baa927a42f775d9dcab92f71dff0d4ba4780ae18470dbdd,63677991,,2018-03,53.812629,1299619,On or near Back Mayville Place,-1.574846,Investigation complete; no suspect identified,2018-03,On or near Back Mayville Place - Leeds North West,Leeds North West,Street
91,violent-crime,Force,,d0433927a91e5e042c47e68a291c2b1b23d00a9b766062babaaf31ee53fc4a35,63678171,,2018-03,53.820676,1301695,On or near North Grange Mount,-1.567883,Investigation complete; no suspect identified,2018-04,On or near North Grange Mount - Leeds North West,Leeds North West,Street
92,violent-crime,Force,,845b4d373e619ca1f006d2a4e02852e4372728c21191455b388bbb112d4c9256,63677506,,2018-03,53.853239,1304980,On or near Tinshill Crescent,-1.615419,Unable to prosecute suspect,2018-03,On or near Tinshill Crescent - Leeds North West,Leeds North West,Street
93,violent-crime,Force,,e17c402efa219fb25a153d161cf5c8b3bf01b8e302b357dd69cb3080cd591630,63677340,,2018-03,53.813079,1299925,On or near Kensington Terrace,-1.564833,Unable to prosecute suspect,2018-03,On or near Kensington Terrace - Leeds North West,Leeds North West,Street
94,violent-crime,Force,,121f83f2a85e39aadb65c7806bad9a27e5e402a36cd6b390aaa9f3410b30983b,63692302,,2018-03,53.839118,1303897,On or near Spen Lane,-1.601324,Unable to prosecute suspect,2018-03,On or near Spen Lane - Leeds North West,Leeds North West,Street
95,violent-crime,Force,,577a43c67a15d1afa6dc64b46a27dd8879a76fe2abbbc911abde76f24226b191,63692360,,2018-03,53.866623,1306607,On or near Dam Lane,-1.676883,Investigation complete; no suspect identified,2018-03,On or near Dam Lane - Leeds North West,Leeds North West,On or near Parking Area
96,violent-crime,Force,,d85f907b5fa52c9f3214a711f70f32f52e2401104538398904b48f304d733c27,63692105,,2018-03,53.905612,1307949,On or near East Busk Lane,-1.67675,Status update unavailable,2018-07,On or near East Busk Lane - Leeds North West,Leeds North West,Street
97,violent-crime,Force,,fb7f39508b9afe810af98af55af0e7c040d1bfb4baedf91b243032576a45f6d1,63691774,,2018-03,53.869082,1306725,On or near Airport/airfield,-1.659132,Unable to prosecute suspect,2018-04,On or near Airport/airfield - Leeds North West,Leeds North West,Street
98,violent-crime,Force,,e98ec490effafdf4a7a43e967b9584896c712b967ea6d23f5d1c30b485fedb45,63691772,,2018-03,53.877201,1272717,On or near Kings Road,-1.598924,Investigation complete; no suspect identified,2018-04,On or near Kings Road - Leeds North West,Leeds North West,Street
99,violent-crime,Force,,fc35b48581b5a4d3ebcf70a1a5908e3d5a05cb034daccba57eeb05881e73ae90,63691730,,2018-03,53.819638,1301589,On or near South Parade,-1.581944,Status update unavailable,2018-07,On or near South Parade - Leeds North West,Leeds North West,Street
100,violent-crime,Force,,415a8df1801cf3fccaf648b58454738ca81f12ec404217f96aba3d18b7af94c8,63691391,,2018-03,53.811533,1299535,On or near Pearson Terrace,-1.569815,Unable to prosecute suspect,2018-09,On or near Pearson Terrace - Leeds North West,Leeds North West,Street
101,violent-crime,Force,,d6c460db35248448fce76faad6959e1e62b9db4e39438ff396a95040aa686bcf,63690925,,2018-03,53.915075,1308541,On or near The Crossways,-1.693317,Status update unavailable,2018-07,On or near The Crossways - Leeds North West,Leeds North West,Street
